year,month,day,31N,32N,33N,34N,35N,36N,37N,38N,39N,40N,41N,42N,43N,44N,45N,46N,47N
1988,1,1,-0.368,0.123,-0.132,-0.412,-0.264,0.009,-0.306,-0.363,-0.159,0.24,0.126,-0.127,-0.042,-0.043,0.181,0.12,-0.013
1988,1,2,-0.261,0.04,0.093,-0.454,-0.286,-0.221,-0.678,-0.791,-0.718,-0.871,-0.914,-0.772,-0.755,-0.44,0.015,0.025,-0.048
1988,1,3,-0.233,0.037,0.021,-0.471,-0.789,-0.88,-1.338,-1.444,-1.724,-2.002,-0.958,-1.99,-0.746,-0.514,-1.076,-0.695,-0.576
1988,1,4,-0.068,0.19,-0.009,-0.227,-0.652,-0.568,-0.64,-0.369,-0.202,-0.052,0.211,-0.226,0.743,0.2,0.01,0.135,-0.528
1988,1,5,-0.127,-0.259,0.046,0.275,0.085,0.507,0.117,0.198,0.301,0.205,0.115,-0.563,0.343,-0.082,-0.193,0.172,-0.357
1988,1,6,0.306,0.416,0.025,0.215,-0.173,0.465,-0.007,0.081,0.632,0.583,0.379,-0.014,0.483,0.015,0.099,0.279,-0.042
1988,1,7,0.577,0.331,0.32,0.099,0.011,0.29,-0.133,-0.094,0.119,0.261,-0.101,-0.179,0.314,0.046,-0.134,0.008,-0.353
1988,1,8,0.737,0.517,0.572,0.32,0.252,0.641,0.058,0.091,0.213,0.108,-0.139,-0.143,-0.056,-0.094,-0.062,0.128,-0.226
1988,1,9,0.54,0.494,0.285,0.311,0.152,0.237,-0.019,-0.203,0.043,-0.15,-0.467,-0.387,-0.398,-0.432,-0.469,-0.133,-0.497
1988,1,10,0.041,0.364,0.201,0.117,0.212,0.355,-0.046,-0.242,-0.359,-0.308,-0.756,-0.871,0.127,0.062,0.029,0.126,-0.039
1988,1,11,0.515,0.689,0.796,0.764,0.918,1.096,0.493,0.466,0.709,0.709,0.266,0.86,1.351,0.851,1.109,0.732,0.557
1988,1,12,0.636,0.368,0.578,0.594,0.63,0.975,0.403,0.138,0.042,-0.192,-0.64,-1.265,-1.779,-1.26,-1.818,-1.368,-1.726
1988,1,13,0.397,-0.137,0.108,0.053,0.062,0.144,-0.063,-0.283,-0.578,-0.874,-0.791,-0.879,-0.694,-0.012,-0.655,-0.289,-1.561
1988,1,14,0.141,0.075,0.428,-0.197,0.037,0.002,-0.02,-0.36,-0.995,-1.506,-1.716,-2.754,-2.757,-1.279,-2.319,-1.115,-2.59
1988,1,15,0.288,0.013,0.474,0.267,0.167,0.175,0.074,0.061,0.175,0.101,-0.176,-0.52,-0.575,0.009,-0.459,0.214,-0.856
1988,1,16,0.217,0.146,0.258,0.292,0.118,0.257,0.085,0.206,0.414,0.494,0.449,0.422,0.41,0.285,0.467,0.823,0.011
1988,1,17,0.233,-0.586,-0.044,2.774,2.957,2.197,1,1,1.831,1.476,0.712,0.445,0.504,0.237,0.377,0.266,-0.157
1988,1,18,4.715,3.599,3.98,3.8,4.248,5.015,2.597,1.984,2.165,1.25,0.378,0.791,0.735,0.214,0.649,0.421,0.157
1988,1,19,-0.495,-0.081,0.242,0.653,0.947,1.693,0.684,0.535,1.702,0.859,-0.068,0.091,-0.096,-0.229,-0.037,-0.212,-0.501
1988,1,20,-1.866,-0.185,-0.852,-1.257,-0.023,0.133,0.1,-0.592,-0.156,0.352,-0.301,0.366,0.094,-0.104,0.272,0.378,-0.259
1988,1,21,-1.664,-0.207,0.438,-0.359,1.139,0.368,0.671,0.626,0.821,0.554,-0.665,0.491,0.179,0.083,0.541,0.166,0.049
1988,1,22,-0.973,-0.104,-0.464,-0.504,-0.343,-0.435,0.323,-0.016,0.743,0.984,0.472,0.079,-0.524,-0.32,0.156,0.134,0.19
1988,1,23,-0.126,0.303,0.007,0.024,-0.218,-0.2,0.343,-0.122,-0.362,0.693,0.352,0.7,0.454,0.169,-0.142,-0.372,-0.148
1988,1,24,-0.2,-0.118,0.036,0.022,-0.224,-0.414,0.041,0.265,-0.179,-0.019,0.151,0.206,0.031,-0.015,0.056,0.083,-0.285
1988,1,25,-0.414,-0.08,-0.71,0.137,0.01,-0.038,0.185,-0.104,0.547,0.648,0.321,0.256,0.301,0.108,0.112,0.065,-0.191
1988,1,26,-0.109,-0.266,-0.662,-0.105,0.019,-0.083,0.014,0.048,-0.097,0.427,-0.017,-0.08,0.261,0.204,0.522,0.175,-0.159
1988,1,27,-0.21,0.052,-0.373,-0.168,0.142,0.034,-0.292,-0.165,-0.094,-0.249,-0.468,-0.96,-1.236,-0.643,-0.19,-0.145,-0.624
1988,1,28,-0.128,0.143,-0.436,-0.088,0.174,0.111,-0.185,-0.284,-0.402,-0.267,-1.003,-0.891,-1.244,-0.769,-0.785,-0.332,-0.659
1988,1,29,0.005,0.128,-0.016,-0.196,-0.247,0.335,-0.143,0.152,-0.214,0.292,-0.106,0.432,0.685,0.472,0.489,0.703,0.281
1988,1,30,0.712,0.728,0.223,0.498,0.561,1.045,0.582,0.645,1.049,0.856,0.165,0.375,0.321,0.063,0.496,0.209,0.268
1988,1,31,0.329,0.455,0.213,0.395,0.595,1.21,0.56,0.44,0.971,0.792,0.357,0.854,0.822,0.369,0.842,0.527,0.137
1988,2,1,0.072,0.012,-0.032,-0.188,0.073,0.45,0.166,0.323,0.869,0.883,0.516,0.831,0.659,0.288,0.631,0.246,0.28
1988,2,2,-0.736,0.431,0.338,-0.151,0.374,0.627,0.336,0.252,0.838,0.837,0.606,0.997,0.546,0.211,0.431,0.103,0.139
1988,2,3,-0.112,0.183,0.448,0.031,0.089,0.376,0.122,0.066,0.628,0.326,-0.04,0.668,0.13,-0.159,0.136,0.112,0.076
1988,2,4,-0.111,0.179,0.029,-0.282,-0.332,0.03,0.03,-0.159,0.212,0.171,0.122,0.33,0.107,-0.021,0.049,0.053,-0.063
